id,pname,gender,fname,canonical_fname,oname,born_on_year,begin_on_year,begin_on_month,begin_on_day,end_on_year,end_on_month,end_on_day,nationality,sheet,is_higher_official,is_core_section,second_nationality,age,age_group
10159,Elsa Scherer,Female,Shorthand Typist,LoN Second Division,Information,1893,1930,5,28,1939,6,15,German,core_only,False,True,,37,30-40
10481,Elsa Thomson,Female,Clerk,LoN Second Division,Distribution of Documents,1908,1930,1,1,1933,12,31,Swiss,core_only,False,False,,22,20-30
10481,Elsa Thomson,Female,Clerk,LoN Second Division,Distribution of Documents,1908,1935,3,8,1935,3,31,Swiss,core_only,False,False,,27,20-30
10481,Elsa Thomson,Female,Clerk,LoN Second Division,Financial  & Economic Intelligence Service,1908,1935,4,1,1939,5,31,Swiss,core_only,False,True,,27,20-30
10481,Elsa Thomson,Female,Clerk,LoN Second Division,Pool,1908,1934,1,1,1935,3,7,Swiss,core_only,False,False,,26,20-30
10481,Elsa Thomson,Female,Clerk,LoN Second Division,Translation,1908,1939,6,1,1940,5,17,Swiss,core_only,False,False,,31,30-40
10481,Elsa Thomson,Female,Copyholder,LoN Second Division,Printing & Publishing Department,1908,1929,3,25,1929,12,31,Swiss,core_only,False,False,,21,20-30
12070,Elsa di Criscienzo,Female,Assistant,LoN Second Division,Health,1898,1928,1,3,1928,5,5,Italian,core_only,False,True,,30,20-30
10640,Elsie Elizabeth Ware,Female,Shorthand Typist,LoN Second Division,Disarmament,1906,1930,8,18,1933,1,31,British,core_only,False,True,,24,20-30
10640,Elsie Elizabeth Ware,Female,Shorthand Typist,LoN Second Division,Pool,1906,1928,9,3,1928,9,25,British,core_only,False,False,,22,20-30
10640,Elsie Elizabeth Ware,Female,Shorthand Typist,LoN Second Division,Pool,1906,1929,8,15,1930,8,17,British,core_only,False,False,,23,20-30
10640,Elsie Elizabeth Ware,Female,Shorthand Typist,LoN Second Division,Pool,1906,1933,9,25,1933,10,11,British,core_only,False,False,,27,20-30
10640,Elsie Elizabeth Ware,Female,Shorthand Typist,LoN Second Division,Pool,1906,1934,9,10,1934,9,16,British,core_only,False,False,,28,20-30
11048,Elsie Ray,Female,Copyist,LoN Second Division,Pool,1899,1922,8,28,1923,1,1,British,core_only,False,False,,23,20-30
11048,Elsie Ray,Female,Copyist,LoN Second Division,Social Questions and Opium Traffic,1899,1923,1,1,1925,11,25,British,core_only,False,True,,24,20-30
11048,Elsie Ray,Female,Shorthand Typist,LoN Second Division,Pool,1899,1925,11,25,1940,9,5,British,core_only,False,False,,26,20-30
11438,Elsieceleste Henderson,Female,Senior Assistant,LoN First Division,Information,1899,1925,6,22,1927,4,3,Canadian,core_only,False,True,,26,20-30
5416,Emil Otto Hauswirth,Male,Member of Section,LoN First Division,Economic Relations,1905,1930,6,10,1938,3,20,Austrian,core_only,False,True,,25,20-30
5172,Emile Bouvier,Male,Temporary Collaborator,LoN First Division,Information,,1932,9,19,1932,10,5,French,core_only,False,True,,,
5505,Emile Giraud,Male,Legal Adviser,LoN First Division,Legal,1894,1940,7,14,1940,8,3,French,core_only,False,True,,46,40-50
5505,Emile Giraud,Male,Legal Adviser,LoN First Division,Legal,1894,1942,1,1,1942,1,31,French,core_only,False,True,,48,40-50
5505,Emile Giraud,Male,Legal Adviser,LoN First Division,Legal,1894,1943,10,1,1946,12,31,French,core_only,False,True,,49,40-50
5505,Emile Giraud,Male,Member of Section,LoN First Division,Legal,1894,1927,1,11,1940,7,14,French,core_only,False,True,,33,30-40
8954,Emile Léon Majerus,Male,Assistant,LoN Second Division,Economic and Financial,1901,1928,11,5,1930,12,20,Luxembourgish,core_only,False,True,,27,20-30
5470,Emile Raus,Male,Temporary Collaborator,LoN First Division,Information,,1934,9,7,1934,9,28,Luxembourgish,core_only,False,True,,,
11450,Emilia Claire Hernya,Female,Assistant Secretary,LoN Second Division,Administrative and Minorities,1893,1920,2,5,1923,8,29,Australian,core_only,False,True,,27,20-30
11450,Emilia Claire Hernya,Female,Stenographer,LoN Second Division,Administrative and Minorities,1893,1920,2,5,1923,8,29,Australian,core_only,False,True,,27,20-30
9716,Emilia Kernen née Gigon,Female,Statistical Clerk,LoN Second Division,Economic and Financial,1892,1921,6,27,1935,1,31,Swiss,core_only,False,True,French,29,20-30
11604,Emilienne Bracq-Marion,Female,Shorthand Typist,LoN Second Division,Legal,1890,1921,12,1,1931,12,15,French,core_only,False,True,,31,30-40
4956,Emilio Pampana,Male,Expert/Specialist,LoN First Division,Health,,1931,6,15,1938,6,13,Italian,core_only,False,True,,,
10801,Emily Duncan Johnston,Female,Minute Writer,LoN Second Division,Board of Liquidation,1895,1947,4,8,1947,4,30,British,core_only,False,False,,52,50-60
10801,Emily Duncan Johnston,Female,Minute Writer,LoN Second Division,Board of Liquidation,1895,1947,6,10,1947,7,22,British,core_only,False,False,,52,50-60
10801,Emily Duncan Johnston,Female,Secretary-Shorthand-Typist,LoN Second Division,Administrative and Minorities,1895,1921,1,4,1930,6,10,British,core_only,False,True,,26,20-30
10801,Emily Duncan Johnston,Female,Shorthand Typist,LoN Second Division,Pool,1895,1920,5,8,1921,1,4,British,core_only,False,False,,25,20-30
10801,Emily Duncan Johnston,Female,Shorthand Typist,LoN Second Division,Secretary-General's Office,1895,1930,6,10,1933,7,1,British,core_only,False,False,,35,30-40
10801,Emily Duncan Johnston,Female,Shorthand Typist,LoN Second Division,Under Secretaries-Generals' in charge of Political  Office,1895,1933,7,1,1947,4,8,British,core_only,False,False,,38,30-40
5248,Eméric Polgar,Male,Temporary Collaborator,LoN First Division,Information,,1931,8,31,1931,9,13,Hungarian,core_only,False,True,,,
10843,Encarnación Aragon,Female,Shorthand Typist,LoN Second Division,Information,1892,1924,5,24,1933,12,31,Spanish,core_only,False,True,,32,30-40
10843,Encarnación Aragon,Female,Shorthand Typist,LoN Second Division,Information,1892,1934,1,1,1940,1,31,Spanish,core_only,False,True,,42,40-50
10843,Encarnación Aragon,Female,Shorthand Typist,LoN Second Division,Legal,1892,1934,1,1,1940,1,31,Spanish,core_only,False,True,,42,40-50
10843,Encarnación Aragon,Female,Shorthand Typist,LoN Second Division,Political,1892,1934,1,1,1940,1,31,Spanish,core_only,False,True,,42,40-50
10843,Encarnación Aragon,Female,Shorthand Typist,LoN Second Division,Stenographic Services,1892,1934,1,1,1940,1,31,Spanish,core_only,False,False,,42,40-50
5477,Endre Hlatky,Male,Temporary Collaborator,LoN First Division,Information,,1933,9,22,1933,9,29,Hungarian,core_only,False,True,,,
8550,Enid Winifred Farrow,Female,Proof-Reader,LoN Second Division,Legal,1900,1938,11,9,1938,12,31,British,core_only,False,True,,38,30-40
5405,Enrique  Munguia,Male,Expert/Specialist,LoN First Division,Legal,1903,1938,4,1,1940,3,31,Mexican,core_only,False,True,,35,30-40
5037,Enrique Bernstein,Male,Temporary Collaborator,LoN First Division,Information,,,,,,,,,core_only,False,True,,,
5098,Enrique Cañas-Flores,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Special Session of the Assembly Convened for the Purpose of Considering the Request of the Kingdom of Egypt for Admission to the League of Nations,1900,,,,,,,,lonsea_all,False,False,,,
5098,Enrique Cañas-Flores,Male,Temporary Collaborator,LoN First Division,Information,1900,1937,9,9,1937,9,30,Chilean,core_only,False,True,,37,30-40
5303,Eric Ibbetson James,Male,Member of Section,LoN First Division,Economic and Financial,1888,1920,11,13,1921,1,1,British,core_only,False,True,,32,30-40
5303,Eric Ibbetson James,Male,Member of Section,LoN First Division,Economic and Financial,1888,1921,1,1,1921,7,29,British,core_only,False,True,,33,30-40
5303,Eric Ibbetson James,Male,Member of Section,LoN First Division,Précis-Writing Department,1888,1921,7,29,1921,10,15,British,core_only,False,False,,33,30-40
5303,Eric Ibbetson James,Male,Member of Section,LoN First Division,Précis-Writing Department,1888,1922,7,14,1922,11,30,British,core_only,False,False,,34,30-40
5303,Eric Ibbetson James,Male,Member of Section,LoN First Division,Précis-Writing Department,1888,1923,8,5,1924,1,19,British,core_only,False,False,,35,30-40
5303,Eric Ibbetson James,Male,Member of a Committee,Member of a Committee,International Association of Journalists Accredited to the League of Nations,1888,1938,,,,,,British,lonsea_all,False,False,,50,40-50
5303,Eric Ibbetson James,Male,Minute Writer,LoN Second Division,League of Nations,1888,1924,,,1924,,,British,core_only,False,False,,36,30-40
5353,Erik Andreas Colban,Male,Director,LoN First Division,Administrative and Minorities,1876,1919,6,12,1927,12,17,Norwegian,core_only,False,True,,43,40-50
5353,Erik Andreas Colban,Male,Director,LoN First Division,Disarmament,1876,1927,12,17,1930,7,9,Norwegian,core_only,False,True,,51,50-60
5353,Erik Andreas Colban,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Fourteenth Ordinary Session of the Assembly,1876,,,,,,,,lonsea_all,False,False,,,
5353,Erik Andreas Colban,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Special Session of the Assembly Convened in Virtue of Article 15 of the Covenant at the Request of the Chinese Government,1876,,,,,,,,lonsea_all,False,False,,,
5353,Erik Andreas Colban,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Twelfth Ordinary Session of the Assembly,1876,,,,,,,,lonsea_all,False,False,,,
5317,Erik Bruel,Male,Temporary Collaborator,LoN First Division,Information,,1937,11,20,1937,12,11,Dane,core_only,False,True,,,
5463,Erik Einan Ekstrand,Male,Director,LoN First Division,Social Questions and Opium Traffic,1880,1931,4,7,1939,7,4,Swedish,core_only,False,True,,51,50-60
4979,Ermentrude  Baecker von Ranke,Female,Temporary Collaborator,LoN First Division,Information,,1928,9,5,1928,9,19,German,core_only,False,True,,,
10648,Ermyntrude Winifred Watson,Female,Copyist,LoN Second Division,Pool,1897,1927,3,23,1928,3,14,British,core_only,False,False,,30,20-30
10648,Ermyntrude Winifred Watson,Female,Secretary Shorthand-Typist,LoN Second Division,Central,1897,1938,8,1,1940,5,17,British,core_only,False,True,,41,40-50
10648,Ermyntrude Winifred Watson,Female,Shorthand Typist,LoN Second Division,Information,1897,1928,5,7,1929,6,30,British,core_only,False,True,,31,30-40
10648,Ermyntrude Winifred Watson,Female,Shorthand Typist,LoN Second Division,Information,1897,1929,7,1,1938,7,31,British,core_only,False,True,,32,30-40
10648,Ermyntrude Winifred Watson,Female,Shorthand Typist,LoN Second Division,Pool,1897,1928,3,15,1928,5,6,British,core_only,False,False,,31,30-40
10648,Ermyntrude Winifred Watson,Female,Stenographer,LoN Second Division,Pool,1897,1946,4,6,1946,4,27,British,core_only,False,False,,49,40-50
10825,Ernest Emile Ammann,Male,Messenger,LoN Second Division,Economic and Financial,1906,1926,9,7,1929,2,28,Swiss,core_only,False,True,,20,14-20
10825,Ernest Emile Ammann,Male,Office Keeper,LoN Third Division,Pool,1906,1936,2,24,1939,12,17,Swiss,core_only,False,False,,30,20-30
11265,Ernest Gaston Jean Liegeois,Male,Bilingual Shorthand-Typist,LoN Second Division,Health,1888,1926,4,8,1928,1,1,French,core_only,False,True,,38,30-40
11265,Ernest Gaston Jean Liegeois,Male,Shorthand Typist,LoN Second Division,Pool,1888,1932,2,,1932,,,French,core_only,False,False,,44,40-50
11265,Ernest Gaston Jean Liegeois,Male,Verbatim Reporter,LoN Second Division,Health,1888,1928,1,1,1928,2,15,French,core_only,False,True,,40,30-40
9156,Ernest Kaiser,Male,Clerk,LoN Second Division,Health,1907,1931,3,24,1941,9,30,Swiss,core_only,False,True,,24,20-30
9156,Ernest Kaiser,Male,Clerk,LoN Second Division,Internal Control,1907,1931,6,15,1941,9,30,Swiss,core_only,False,False,,24,20-30
11406,Ernest Sindefield Harston,Male,Assistant Head of Section,LoN First Division,Distribution of Documents,1891,1928,6,4,1929,12,31,New Zealander,core_only,False,False,,37,30-40
11406,Ernest Sindefield Harston,Male,Head of Section,LoN First Division,Distribution of Documents,1891,1930,1,1,1931,12,31,New Zealander,core_only,False,False,,39,30-40
11406,Ernest Sindefield Harston,Male,Press Reader,LoN Second Division,Information,1891,1927,5,23,1928,6,4,New Zealander,core_only,False,True,,36,30-40
5301,Ernest W. H. Jackman,Male,League of Nations staff,League of Nations staff,League of Nations,,1920,8,1,1923,11,10,British,core_only,False,False,,,
5301,Ernest W. H. Jackman,Male,Member of Section,LoN First Division,Disarmament,,1920,8,1,1923,11,10,British,core_only,False,True,,,
9041,Ernestine Maurice,Female,Clerk,LoN Second Division,Financial  & Economic Intelligence Service,1903,1930,6,2,1940,5,17,Swiss,core_only,False,True,,27,20-30
11864,Ernesto Ottavio Charrere,Male,Senior Assistant,LoN First Division,Information,1896,1920,6,26,1934,11,,Italian,core_only,False,True,,24,20-30
11864,Ernesto Ottavio Charrere,Male,Senior Assistant,LoN First Division,Intellectual Cooperation and International Bureaux,1896,1934,11,,1939,4,15,Italian,core_only,False,True,,38,30-40
10513,Ernst Paul Archibald Trendelenburg,Male,Under Secretary General,LoN First Division,Under-Secretary-General's Office,1882,1932,11,1,1933,12,31,German,core_only,True,False,,50,40-50
4884,Esma Nayman,Female,League of Nations General Assembly Delegate,Representative,General Assembly: Nineteenth Ordinary Session of the Assembly,,,,,,,,Turkish,lonsea_all,False,False,,,
4884,Esma Nayman,Female,Temporary Collaborator,LoN First Division,Information,,1936,9,17,1936,10,15,Turkish,core_only,False,True,,,
5231,Essy Hjördis Lehmann,Female,Assistant,LoN Second Division,Communications and Transit,1893,1921,6,27,1922,1,1,Swedish,core_only,False,True,,28,20-30
5231,Essy Hjördis Lehmann,Female,Assistant,LoN Second Division,Economic and Financial,1893,1921,5,5,1921,6,27,Swedish,core_only,False,True,,28,20-30
5231,Essy Hjördis Lehmann,Female,Member of Section,LoN First Division,Communications and Transit,1893,1931,1,1,1939,6,15,Swedish,core_only,False,True,,38,30-40
5231,Essy Hjördis Lehmann,Female,Secretary,LoN First Division,Communications and Transit,1893,1923,1,1,1931,1,1,Swedish,core_only,False,True,,30,20-30
5231,Essy Hjördis Lehmann,Female,Senior Assistant,LoN First Division,Communications and Transit,1893,1922,1,1,1923,1,1,Swedish,core_only,False,True,,29,20-30
4938,Etelka Varady,Female,Temporary Collaborator,LoN First Division,Information,,1928,8,29,1928,9,12,Hungarian,core_only,False,True,,,
5429,Ethel Dawe,Female,Temporary Collaborator,LoN First Division,Information,,1937,9,9,1937,9,30,Australian,core_only,False,True,,,
9563,Ethel Fryer Paczensky,Female,Secretary Shorthand-Typist,LoN Second Division,Legal,1889,1920,7,7,1924,2,29,British,core_only,False,True,,31,30-40
9563,Ethel Fryer Paczensky,Female,Secretary of Section,LoN First Division,Legal,1889,1924,3,1,1940,1,31,British,core_only,False,True,,35,30-40
10564,Ethel May Venables,Female,Secretary Shorthand-Typist,LoN Second Division,Financial  & Economic Intelligence Service,1885,1931,11,16,1933,12,31,British,core_only,False,True,,46,40-50
10564,Ethel May Venables,Female,Secretary Shorthand-Typist,LoN Second Division,Pool,1885,1934,1,1,1940,1,31,British,core_only,False,False,,49,40-50
10564,Ethel May Venables,Female,Shorthand Typist,LoN Second Division,Pool,1885,1920,10,14,1922,5,3,British,core_only,False,False,,35,30-40
10564,Ethel May Venables,Female,Shorthand Typist,LoN Second Division,Russian Refugees,1885,1922,5,4,1923,10,14,British,core_only,False,False,,37,30-40
10281,Ethel Smith,Female,Shorthand Typist,LoN Second Division,Information,1903,1931,1,2,1933,12,31,British,core_only,False,True,,28,20-30
10281,Ethel Smith,Female,Shorthand Typist,LoN Second Division,Pool,1903,1930,9,10,1931,1,31,British,core_only,False,False,,27,20-30
10281,Ethel Smith,Female,Shorthand Typist,LoN Second Division,Pool,1903,1934,1,1,1937,9,15,British,core_only,False,False,,31,30-40
8771,Etienne Gombo,Male,Liaison Officer,LoN First Division,Information,1895,1924,2,1,1930,12,31,Hungarian,core_only,False,True,,29,20-30
5434,Eugène  Derobert,Male,Expert/Specialist,LoN First Division,Economic Relations,1886,1930,2,6,1940,5,23,Swiss,core_only,False,True,,44,40-50
8592,Eugène  Filotti,Male,Temporary Collaborator,LoN First Division,Information,,1927,5,22,1927,6,22,Romanian,core_only,False,True,,,
8592,Eugène  Filotti,Male,Temporary Collaborator,LoN First Division,Information,,1927,9,3,,,,Romanian,core_only,False,True,,,
10305,Eugène Charles Soutter,Male,Clerk,LoN Second Division,Financial  & Economic Intelligence Service,1911,1935,4,4,1940,9,30,Swiss,core_only,False,True,,24,20-30
10305,Eugène Charles Soutter,Male,Clerk,LoN Second Division,Financial  & Economic Intelligence Service,1911,1940,2,19,1940,3,3,Swiss,core_only,False,True,,29,20-30
10305,Eugène Charles Soutter,Male,Clerk,LoN Second Division,Financial  & Economic Intelligence Service,1911,1940,4,5,1940,4,25,Swiss,core_only,False,True,,29,20-30
4948,Eugène Henri René  Vigier,Male,Assistant,LoN Second Division,Information,1886,1920,3,3,1921,2,18,French,core_only,False,True,,34,30-40
4948,Eugène Henri René  Vigier,Male,Assistant,LoN Second Division,Secretary-General's Office,1886,1942,4,8,1946,8,31,French,core_only,False,False,,56,50-60
4948,Eugène Henri René  Vigier,Male,Chief of Section,LoN First Division,Political,1886,1938,2,1,1946,8,31,French,core_only,False,True,,52,50-60
4948,Eugène Henri René  Vigier,Male,Counsellor,LoN Second Division,Political,1886,1931,4,2,,,,French,core_only,False,True,,45,40-50
4948,Eugène Henri René  Vigier,Male,Head of Department,LoN First Division,Printing & Publishing Department,1886,1921,2,18,1946,8,31,French,core_only,False,False,,35,30-40
4948,Eugène Henri René  Vigier,Male,Head of Department,LoN First Division,Précis-Writing Department,1886,1921,2,18,1946,8,31,French,core_only,False,False,,35,30-40
4948,Eugène Henri René  Vigier,Male,League of Nations staff,League of Nations staff,Library,1886,1941,1,1,1946,8,31,French,core_only,False,False,,55,50-60
4948,Eugène Henri René  Vigier,Male,Member of Section,LoN First Division,Political,1886,1927,1,1,,,,French,core_only,False,True,,41,40-50
4948,Eugène Henri René  Vigier,Male,Translator,LoN First Division,Translation,1886,1941,1,14,1946,8,31,French,core_only,False,False,,55,50-60
4864,Eugène Xammar,Male,Member of Section,LoN First Division,Information,,1920,9,1,1921,12,15,Spanish,core_only,False,True,,,
5128,Eugéne  Catargi,Male,Member of Section,LoN First Division,Legal,1888,1922,2,1,1922,3,31,Romanian,core_only,False,True,,34,30-40
9665,Eva Piani,Female,Clerk,LoN Second Division,Legal,1889,1930,8,1,1930,9,10,French,core_only,False,True,,41,40-50
9665,Eva Piani,Female,Clerk,LoN Second Division,Mandates,1889,1930,9,11,1930,9,15,French,core_only,False,True,,41,40-50
9665,Eva Piani,Female,Clerk,LoN Second Division,Mandates,1889,1930,10,23,1930,11,7,French,core_only,False,True,,41,40-50
12094,Evelyn Annie Curry,Female,Shorthand Typist,LoN Second Division,Pool,1894,1924,12,8,1929,10,,British,core_only,False,False,,30,20-30
12094,Evelyn Annie Curry,Female,Shorthand Typist,LoN Second Division,Social Questions and Opium Traffic,1894,1929,10,7,1947,8,15,British,core_only,False,True,,35,30-40
4874,Ewan P. Wallis-Jones,Male,President,President,International University Federation for the League of Nations,,1936,,,1938,,,British,lonsea_all,False,False,,,
4874,Ewan P. Wallis-Jones,Male,Temporary Collaborator,LoN First Division,Information,,1934,9,7,1934,9,28,British,core_only,False,True,,,
5000,F. McBryan,Male,Temporary Collaborator,LoN First Division,Information,,1938,9,9,1938,9,30,,core_only,False,True,,,
4897,F.L. Wood,Male,Temporary Collaborator,LoN First Division,Information,,1939,9,9,1937,9,30,New Zealander,core_only,False,True,,,
5524,Fabre,Female,Temporary Collaborator,LoN First Division,Information,,1928,8,29,1928,9,12,French,core_only,False,True,,,
5540,Federico Flora,Male,Temporary Collaborator,LoN First Division,Information,,1930,9,8,1930,9,29,Italian,core_only,False,True,,,
5496,Felicia Grigonis,Female,Temporary Collaborator,LoN First Division,Information,,1938,9,9,1938,9,30,Lithuanian,core_only,False,True,,,
9942,Felicita Donzelli,Female,Copyist,LoN Second Division,General Assemblies Staff,1879,1927,10,5,,,,Italian,lonsea_all,False,False,,48,40-50
9942,Felicita Donzelli,Female,Copyist,LoN Second Division,Pool,1879,1930,5,1,1930,5,26,Italian,core_only,False,False,,51,50-60
9942,Felicita Donzelli,Female,Copyist,LoN Second Division,Pool,1879,1930,7,1,1930,12,14,Italian,core_only,False,False,,51,50-60
9942,Felicita Donzelli,Female,Stenographer,LoN Second Division,Russian Refugees,1879,1930,1,1,1930,4,30,Italian,core_only,False,False,,51,50-60
9942,Felicita Donzelli,Female,Translator,LoN First Division,Economic Conference,1879,1927,4,4,,,,Italian,core_only,False,False,,48,40-50
9942,Felicita Donzelli,Female,Translator,LoN First Division,Economic and Financial,1879,1921,7,11,1921,11,15,Italian,core_only,False,True,,42,40-50
9577,Felicity Amy Palmer,Female,Assistant,LoN Second Division,Social Questions and Opium Traffic,1913,1937,9,1,1938,8,20,British,core_only,False,True,,24,20-30
9577,Felicity Amy Palmer,Female,Assistant,LoN Second Division,Social Questions and Opium Traffic,1913,1939,1,12,1939,5,31,British,core_only,False,True,,26,20-30
9577,Felicity Amy Palmer,Female,Translator,LoN First Division,Translation,1913,1937,4,26,1937,5,29,British,core_only,False,False,,24,20-30
4946,Felix Vejarano,Male,Member of Section,LoN First Division,Intellectual Cooperation and International Bureaux,1910,1936,8,5,1941,8,4,Spanish,core_only,False,True,,26,20-30
10754,Ferdinand Gérard Zimmet,Male,Clerk,LoN Second Division,Financial  & Economic Intelligence Service,1909,1938,5,3,1938,6,2,French,core_only,False,True,,29,20-30
10117,Ferdinand Jeanjaquet,Male,Messenger,LoN Second Division,Information,1900,1931,6,22,1931,10,6,Swiss,core_only,False,True,,31,30-40
10117,Ferdinand Jeanjaquet,Male,Messenger,LoN Second Division,Information,1900,1932,2,3,1932,10,20,Swiss,core_only,False,True,,32,30-40
11262,Fernand Aimé Liard,Male,Clerk,LoN Second Division,Financial  & Economic Intelligence Service,1913,1938,1,10,1939,12,31,Swiss,core_only,False,True,,25,20-30
10083,Fernande Elisabeth Anne Janssens,Female,Bilingual Shorthand-Typist,LoN Second Division,Distribution of Documents,1886,1945,4,16,1946,7,12,,core_only,False,False,,59,50-60
10083,Fernande Elisabeth Anne Janssens,Female,Bilingual Shorthand-Typist,LoN Second Division,Pool,1886,1920,7,19,1921,1,1,,core_only,False,False,,34,30-40
10083,Fernande Elisabeth Anne Janssens,Female,Bilingual Shorthand-Typist,LoN Second Division,Pool,1886,1944,9,8,1945,4,16,,core_only,False,False,,58,50-60
10083,Fernande Elisabeth Anne Janssens,Female,Stenographer,LoN Second Division,Political,1886,1921,1,1,,,,,core_only,False,True,,35,30-40
10083,Fernande Elisabeth Anne Janssens,Female,Stenographer,LoN Second Division,Social Questions and Opium Traffic,1886,1939,7,15,1940,5,17,,core_only,False,True,,53,50-60
11032,Fernande Renée Rotschy née Gardin,Female,Clerk,Clerk,Health,1906,1928,12,1,1940,7,1,,core_only,False,True,,22,20-30
11032,Fernande Renée Rotschy née Gardin,Female,Clerk,Clerk,Health,1906,1941,7,1,1942,12,31,,core_only,False,True,,35,30-40
5096,Fernando Correia Pereira da Silva,Male,Member of Section,LoN First Division,Mandates,,1934,9,3,1941,10,31,Portugese,core_only,False,True,,,
5096,Fernando Correia Pereira da Silva,Male,Temporary Collaborator,LoN First Division,Information,,1930,9,3,1930,10,1,Portugese,core_only,False,True,,,
5122,Fernando Maria Castiella,Male,Temporary Collaborator,LoN First Division,Information,,1930,9,8,1930,9,29,,core_only,False,True,,,
5525,Finn Tage Blichfeldt Friis,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Twentieth (Conclusion) and Twenty-first Ordinary Session of the Assembly,1897,,,,,,,Dane,lonsea_all,False,False,,,
5525,Finn Tage Blichfeldt Friis,Male,Member of Section,LoN First Division,Disarmament,1897,1930,9,1,1940,5,27,Dane,core_only,False,True,,33,30-40
5525,Finn Tage Blichfeldt Friis,Male,Member of Section,LoN First Division,Mandates,1897,1923,7,1,1930,9,1,Dane,core_only,False,True,,26,20-30
11066,Florence Lane,Female,Copyist,LoN Second Division,Pool,1906,1929,1,2,1931,1,1,British,core_only,False,False,,23,20-30
11066,Florence Lane,Female,Shorthand Typist,LoN Second Division,Health,1906,1931,4,13,1932,6,30,British,core_only,False,True,,25,20-30
11066,Florence Lane,Female,Shorthand Typist,LoN Second Division,Pool,1906,1931,1,1,1931,4,13,British,core_only,False,False,,25,20-30
9970,Florence Margaret Dudgeon,Female,Secretary,LoN First Division,Administrative and Minorities,1889,1922,1,1,1922,8,15,Irish,core_only,False,True,,33,30-40
9970,Florence Margaret Dudgeon,Female,Secretary,LoN First Division,Staff Pensions Fund,1889,1921,1,20,1921,12,31,Irish,core_only,False,False,,32,30-40
10237,Florence May Shaw,Female,Accountant,LoN Second Division,Pool,1891,1920,10,1,1923,12,31,British,core_only,False,False,,29,20-30
10237,Florence May Shaw,Female,Secretary Shorthand-Typist,LoN Second Division,Information,1891,1924,1,1,1934,3,31,British,core_only,False,True,,33,30-40
11502,Folke Hillgerdt,Male,Statistician,LoN First Division,Economic and Financial,1894,1927,4,1,1946,7,31,Swedish,core_only,False,True,,33,30-40
9763,Frances Ingram Pittendrigh,Female,Secretary Shorthand-Typist,LoN Second Division,Legal,1889,1929,1,1,1933,12,31,British,core_only,False,True,,40,30-40
9763,Frances Ingram Pittendrigh,Female,Secretary Shorthand-Typist,LoN Second Division,Pool,1889,1934,1,1,1940,5,17,British,core_only,False,False,,45,40-50
9763,Frances Ingram Pittendrigh,Female,Shorthand Typist,LoN Second Division,Legal,1889,1927,1,17,1928,12,31,British,core_only,False,True,,38,30-40
9763,Frances Ingram Pittendrigh,Female,Shorthand Typist,LoN Second Division,Pool,1889,1923,7,16,1927,1,16,British,core_only,False,False,,34,30-40
9763,Frances Ingram Pittendrigh,Female,Stenographer,LoN Second Division,Pool,1889,1946,4,6,1946,4,18,British,core_only,False,False,,57,50-60
10802,Frances Lucy Schonswar Johnstone,Female,Assistant Secretary,LoN Second Division,Political,1890,1920,2,2,1933,9,1,British,core_only,False,True,,30,20-30
10802,Frances Lucy Schonswar Johnstone,Female,Secretary-Shorthand-Typist,LoN Second Division,Library,1890,1933,9,1,1934,6,15,British,core_only,False,False,,43,40-50
10802,Frances Lucy Schonswar Johnstone,Female,Secretary-Shorthand-Typist,LoN Second Division,Secretary-General's Office,1890,1930,6,10,1933,7,1,British,core_only,False,False,,40,30-40
10394,Frances Olive Underhill,Female,Unspecified,Clerk,Brussels Conference,1883,1920,9,,1920,11,,British,core_only,False,False,,37,30-40
10394,Frances Olive Underhill,Female,Unspecified,Clerk,Financial  & Economic Intelligence Service,1883,1921,1,1,1921,4,30,British,core_only,False,True,,38,30-40
10394,Frances Olive Underhill,Female,Unspecified,Clerk,Internal Administration,1883,1920,11,10,1921,1,1,British,core_only,False,False,,37,30-40
11586,Frances Ruth Hutchinson-Hely,Female,Assistant,LoN Second Division,Information,1885,1933,9,252,1933,10,11,British,core_only,False,True,,48,40-50
11586,Frances Ruth Hutchinson-Hely,Female,Senior Clerk Assistant,LoN Second Division,Information,1885,1921,11,4,1932,8,31,British,core_only,False,True,,36,30-40
12066,Francesco Cresto,Male,Clerk,LoN Second Division,Financial  & Economic Intelligence Service,1896,1921,4,26,1940,5,17,Italian,core_only,False,True,,25,20-30
4958,Francesco Paoloni,Male,Correspondent,LoN Second Division,Information,,1927,11,1,1928,5,31,Italian,core_only,False,True,,,
5358,Francis Colt de Wolf,Male,Member of Section,LoN First Division,Disarmament,1894,1931,5,7,1934,9,6,US-American,core_only,False,True,,37,30-40
5341,Francis Mariassy,Male,Temporary Collaborator,LoN First Division,Information,,1937,9,9,1937,9,30,Hungarian,core_only,False,True,,,
4861,Francis Yeats-Brown,Male,Temporary Collaborator,LoN First Division,Information,,1927,12,1,1921,12,21,British,core_only,False,True,,,
